DateTime,close,volumn,AMT,PCT_CHG,high,low,open,turn
2013/1/4,2.53,536470795,1358421981,0.237718,2.56,2.499,2.554,5.716867
2013/1/7,2.534,414827961,1048573711,0.158103,2.544,2.516,2.522,4.393899
2013/1/8,2.523,400097236,1008486882,-0.434096,2.539,2.503,2.533,4.250475
2013/1/9,2.521,439988330,1109167575,-0.079271,2.534,2.504,2.519,4.721918
2013/1/10,2.527,455625049,1153669810,0.238001,2.553,2.51,2.522,4.948143
2013/1/11,2.489,584704424,1466409444,-1.503759,2.54,2.478,2.534,6.274326
2013/1/14,2.577,747183337,1894441213,3.535556,2.588,2.482,2.489,7.953836
2013/1/15,2.592,490207723,1268348566,0.582072,2.603,2.578,2.579,5.328924
2013/1/16,2.573,496065732,1272410239,-0.733025,2.596,2.536,2.591,5.477153
2013/1/17,2.557,439093517,1123009535,-0.621842,2.574,2.537,2.569,4.903881
2013/1/18,2.595,461440012,1191041031,1.486117,2.61,2.552,2.573,5.14082
2013/1/21,2.604,411287904,1068176066,0.346821,2.609,2.58,2.6,4.651
2013/1/22,2.6,769514188,2002372346,-0.15361,2.616,2.577,2.599,9.167431
2013/1/23,2.605,417925900,1084472566,0.192308,2.61,2.58,2.599,4.884594
2013/1/24,2.588,787351437,2056159924,-0.652591,2.666,2.568,2.605,9.118141
2013/1/25,2.576,572244740,1476636530,-0.463679,2.591,2.573,2.588,6.38381
2013/1/28,2.646,563554356,1476431209,2.717391,2.647,2.583,2.583,6.361377
2013/1/29,2.666,782680414,2081586927,0.755858,2.679,2.645,2.649,9.335406
2013/1/30,2.681,538504926,1440600309,0.562641,2.683,2.661,2.673,6.670444
2013/1/31,2.688,692757102,1856557770,0.261097,2.697,2.67,2.692,8.581161
2013/2/1,2.74,539815344,1458735972,1.934524,2.745,2.671,2.679,6.751067
2013/2/4,2.745,424756405,1167276490,0.182482,2.763,2.732,2.748,5.331447
2013/2/5,2.765,735651714,2027097937,0.728597,2.78,2.73,2.732,9.2815
2013/2/6,2.773,462688028,1281889007,0.289331,2.78,2.764,2.767,5.986389
2013/2/7,2.76,608742643,1675465189,-0.468806,2.773,2.725,2.77,7.614042
2013/2/8,2.769,629626713,1743742744,0.326087,2.787,2.749,2.767,7.632764
2013/2/18,2.728,696787520,1916816549,-1.480679,2.778,2.722,2.775,8.814516
2013/2/19,2.684,541152128,1458203208,-1.612903,2.735,2.671,2.73,6.852629
2013/2/20,2.696,461017694,1236732016,0.447094,2.697,2.668,2.685,5.869846
2013/2/21,2.6,732156514,1916687191,-3.560831,2.67,2.576,2.67,9.608353
2013/2/22,2.592,410754719,1069329850,-0.307692,2.611,2.587,2.603,5.503145
2013/2/25,2.596,547550994,1423529867,0.154321,2.626,2.582,2.599,7.523372
2013/2/26,2.558,792972384,2059004731,-1.46379,2.625,2.553,2.58,11.622049
2013/2/27,2.582,468323089,1210049094,0.938233,2.61,2.565,2.569,6.939148
2013/2/28,2.669,613332622,1613396370,3.369481,2.673,2.59,2.606,9.13513
2013/3/1,2.666,427679652,1133952013,-0.112402,2.677,2.619,2.669,6.376616
2013/3/4,2.54,740008408,1910709787,-4.726182,2.634,2.527,2.632,10.50999
2013/3/5,2.613,541403534,1393273915,2.874016,2.616,2.541,2.545,7.88873
